Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
LightGBM,0.890625,0.7696360716104517,0.6451612903225806,0.5970149253731343,0.6201550387596899,0.8976377952755906,0.6363975804737352
Gradient Boosting,0.9040178571428571,0.7283072824852117,0.8,0.47761194029850745,0.5981308411214953,0.9008500803071258,0.6601429718447892
XGBoost,0.8816964285714286,0.7459356759509539,0.6166666666666667,0.5522388059701493,0.5826771653543307,0.8981078857680104,0.6182515423107882
Random Forest,0.8727678571428571,0.7099345790731383,0.5925925925925926,0.47761194029850745,0.5289256198347108,0.8809299956908371,0.5879514629312643
Logistic Regression,0.796875,0.7760214674658206,0.4032258064516129,0.746268656716418,0.5235602094240838,0.8817330669487209,0.599137936219716
Decision Tree,0.7790178571428571,0.7163199749285071,0.3620689655172414,0.6268656716417911,0.45901639344262296,0.7230971128608924,0.359254369558103
Naive Bayes,0.8013392857142857,0.686390880244447,0.3804347826086957,0.5223880597014925,0.44025157232704404,0.7914365181964195,0.44166241830070935
k-NN,0.8571428571428571,0.657695773102989,0.5319148936170213,0.373134328358209,0.43859649122807015,0.7844243350178242,0.4183550795972569
Dummy Classifier,0.8504464285714286,0.5,0.0,0.0,0.0,0.5,0.14955357142857142
