Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
LightGBM,0.8950892857142857,0.7907117953539389,0.6515151515151515,0.6417910447761194,0.6466165413533834,0.9004975124378108,0.6814775873130554
XGBoost,0.8928571428571429,0.7770987581776159,0.6507936507936508,0.6119402985074627,0.6307692307692307,0.8892153406197358,0.6462650547864245
Random Forest,0.8794642857142857,0.7692247424295844,0.5942028985507246,0.6119402985074627,0.6029411764705882,0.8876091981039682,0.5908446999871119
Decision Tree,0.7901785714285714,0.7782348102009637,0.3953488372093023,0.7611940298507462,0.5204081632653061,0.8037372194147374,0.4487791513529488
Gradient Boosting,0.8928571428571429,0.6848434990402319,0.7878787878787878,0.3880597014925373,0.52,0.8965017432522426,0.6666897537202348
Logistic Regression,0.7834821428571429,0.7558467504994711,0.38095238095238093,0.7164179104477612,0.49740932642487046,0.8723312571003252,0.5677734910105615
Dummy Classifier,0.8504464285714286,0.5,0.0,0.0,0.0,0.5,0.14955357142857142
