Experiment,Accuracy,F1-Score,ROC-AUC
Exp 1: Raw Data,0.8794642857142857,0.5263157894736842,0.8919575351588513
Exp 2: + Data Cleaning,0.8772321428571429,0.5299145299145299,0.8791671563442629
Exp 3: + Feature Engineering,0.8839285714285714,0.6060606060606061,0.8949739491518784
Exp 4: + Feature Selection,0.8794642857142857,0.6029411764705882,0.8876091981039682
Exp 5: + Hyperparam Tuning,0.8772321428571429,0.5985401459854015,0.8860618168997534
